datenum,year,month,day,datetime,data_mean_global,data_mean_nh,data_mean_sh
218186,597,5,15,15-May-0597 00:00:00,279.025454465414,280.532504292091,277.518404638738
218674,598,9,15,15-Sep-0598 00:00:00,275.034678856079,272.798241598909,277.271116113249
219161,600,1,15,15-Jan-0600 00:00:00,278.189373572063,278.868593515392,277.510153628734
219646,601,5,15,15-May-0601 00:00:00,279.093268295243,280.60031812192,277.586218468567
220134,602,9,15,15-Sep-0602 00:00:00,275.089632872222,272.853195615052,277.326070129392
220621,604,1,15,15-Jan-0604 00:00:00,278.251695795889,278.930915739218,277.57247585256
221107,605,5,15,15-May-0605 00:00:00,279.170838825682,280.677888652359,277.663788999006
221595,606,9,15,15-Sep-0606 00:00:00,275.165745091955,272.929307834785,277.402182349125
222082,608,1,15,15-Jan-0608 00:00:00,278.312771352629,278.991991295958,277.6335514093
222568,609,5,15,15-May-0609 00:00:00,279.235282713768,280.742332540445,277.728232887092
223056,610,9,15,15-Sep-0610 00:00:00,275.235365686815,272.998928429645,277.471802943985
223543,612,1,15,15-Jan-0612 00:00:00,278.378405530475,279.057625473804,277.699185587146
224029,613,5,15,15-May-0613 00:00:00,279.301997462753,280.80904728943,277.794947636077
224517,614,9,15,15-Sep-0614 00:00:00,275.308425376117,273.071988118947,277.544862633287
225004,616,1,15,15-Jan-0616 00:00:00,278.467406554897,279.146626498226,277.788186611568
225490,617,5,15,15-May-0617 00:00:00,279.38639594448,280.893445771157,277.879346117804
225978,618,9,15,15-Sep-0618 00:00:00,275.388005870312,273.151568613142,277.624443127482
226465,620,1,15,15-Jan-0620 00:00:00,278.55172735586,279.230947299189,277.872507412531
226951,621,5,15,15-May-0621 00:00:00,279.463992282186,280.971042108863,277.95694245551
227439,622,9,15,15-Sep-0622 00:00:00,275.472386194453,273.235948937283,277.708823451623
227926,624,1,15,15-Jan-0624 00:00:00,278.628815732182,279.308035675511,277.949595788853
228412,625,5,15,15-May-0625 00:00:00,279.555019095847,281.062068922524,278.047969269171
228900,626,9,15,15-Sep-0626 00:00:00,275.544013273974,273.307576016804,277.780450531144
229387,628,1,15,15-Jan-0628 00:00:00,278.705188069255,279.384408012584,278.025968125926
229873,629,5,15,15-May-0629 00:00:00,279.628727845144,281.135777671821,278.121678018468
230361,630,9,15,15-Sep-0630 00:00:00,275.632633864627,273.396196607457,277.869071121797
230848,632,1,15,15-Jan-0632 00:00:00,278.785475179411,279.46469512274,278.106255236082
231334,633,5,15,15-May-0633 00:00:00,279.696845485169,281.203895311846,278.189795658493
231822,634,9,15,15-Sep-0634 00:00:00,275.708097123724,273.471659866554,277.944534380894
232309,636,1,15,15-Jan-0636 00:00:00,278.850021426738,279.529241370067,278.170801483409
232795,637,5,15,15-May-0637 00:00:00,279.766679911593,281.27372973827,278.259630084917
233283,638,9,15,15-Sep-0638 00:00:00,275.748088030132,273.511650772962,277.984525287302
233770,640,1,15,15-Jan-0640 00:00:00,278.899847339526,279.579067282855,278.220627396197
234256,641,5,15,15-May-0641 00:00:00,279.816450898396,281.323500725073,278.30940107172
234744,642,9,15,15-Sep-0642 00:00:00,275.813947434179,273.577510177009,278.050384691349
235231,644,1,15,15-Jan-0644 00:00:00,278.959316407614,279.638536350943,278.280096464285
235717,645,5,15,15-May-0645 00:00:00,279.875082237325,281.382132064002,278.368032410649
236205,646,9,15,15-Sep-0646 00:00:00,275.867198851613,273.630761594443,278.103636108783
236692,648,1,15,15-Jan-0648 00:00:00,279.010204632717,279.689424576046,278.330984689388
237178,649,5,15,15-May-0649 00:00:00,279.931836302327,281.438886129004,278.424786475651
237666,650,9,15,15-Sep-0650 00:00:00,275.922893458973,273.686456201803,278.159330716143
238153,652,1,15,15-Jan-0652 00:00:00,279.074789643759,279.754009587088,278.39556970043
238639,653,5,15,15-May-0653 00:00:00,279.983297972501,281.490347799178,278.476248145825
239127,654,9,15,15-Sep-0654 00:00:00,275.974192764574,273.737755507404,278.210630021744
239614,656,1,15,15-Jan-0656 00:00:00,279.118553092417,279.797773035746,278.439333149088
240100,657,5,15,15-May-0657 00:00:00,280.026112705462,281.533162532139,278.519062878786
